172.23.72.174;2022-12-15 10:23:51.416058;Erro;Erro;
172.23.72.174;2022-12-16 10:01:42.662002;-20.468941037;-43.919644141
172.23.72.174;2022-12-16 10:02:13.078601;-20.468101017;-43.919818145
172.23.72.174;2022-12-16 10:02:43.052546;-20.469533257;-43.920810566
172.23.72.174;2022-12-16 10:03:13.456600;-20.471631720;-43.921067470
172.23.72.174;2022-12-16 10:03:43.664829;-20.473139663;-43.920085895
172.23.72.174;2022-12-16 10:04:13.851071;-20.473316283;-43.919071119
172.23.72.174;2022-12-16 10:04:44.219848;-20.473275505;-43.918266265
172.23.72.174;2022-12-16 10:05:14.435782;-20.473867877;-43.917698815
172.23.72.174;2022-12-16 10:05:44.654593;-20.473971937;-43.918572274
172.23.72.174;2022-12-16 10:06:14.880510;-20.474066387;-43.919433147
172.23.72.174;2022-12-16 10:06:45.187454;-20.474801731;-43.920643217
172.23.72.174;2022-12-16 10:07:15.315960;-20.474753993;-43.922622373
172.23.72.174;2022-12-16 10:07:45.654234;-20.473711753;-43.923403594
172.23.72.174;2022-12-16 10:08:15.941498;-20.472952282;-43.923686177
172.23.72.174;2022-12-16 10:08:46.181897;-20.472155654;-43.923727788
172.23.72.174;2022-12-16 10:09:16.376691;-20.470952758;-43.923632174
172.23.72.174;2022-12-16 10:09:46.525247;-20.470190747;-43.923555483
172.23.72.174;2022-12-16 10:10:16.863577;-20.469447218;-43.923509963
172.23.72.174;2022-12-16 10:10:47.137398;-20.468682101;-43.923490998
172.23.72.174;2022-12-16 10:11:17.434651;-20.467924656;-43.923497997
172.23.72.174;2022-12-16 10:11:47.580925;-20.467191316;-43.923454351
172.23.72.174;2022-12-16 10:12:17.877266;-20.466514158;-43.923738006
172.23.72.174;2022-12-16 10:12:48.104048;-20.466374880;-43.924752009
172.23.72.174;2022-12-16 10:13:18.317930;-20.466302323;-43.925589592
172.23.72.174;2022-12-16 10:13:48.705966;-20.465733711;-43.926162899
172.23.72.174;2022-12-16 10:14:18.953586;-20.464945295;-43.926268406
172.23.72.174;2022-12-16 10:14:49.200418;-20.466073076;-43.927009249
172.23.72.174;2022-12-16 10:15:19.417857;-20.466609167;-43.927137063
172.23.72.174;2022-12-16 10:15:49.736496;-20.466792310;-43.927040822
172.23.72.174;2022-12-16 10:16:19.928307;-20.466693826;-43.927044273
172.23.72.174;2022-12-16 10:16:50.263179;-20.466373442;-43.927071132
172.23.72.174;2022-12-16 10:17:20.580248;-20.464973609;-43.926474736
172.23.72.174;2022-12-16 10:17:50.688686;-20.463987808;-43.925827356
172.23.72.174;2022-12-16 10:18:20.931989;-20.461733859;-43.924994697
172.23.72.174;2022-12-16 10:18:51.199537;-20.458659074;-43.924383989
172.23.72.174;2022-12-16 10:19:21.566681;-20.456532232;-43.922807429
172.23.72.174;2022-12-16 10:19:51.664934;-20.455614724;-43.922656946
172.23.72.174;2022-12-16 10:20:21.991346;-20.454659915;-43.922738235
172.23.72.174;2022-12-16 10:20:52.264777;-20.454635245;-43.922742639
172.23.72.174;2022-12-16 10:21:22.458577;-20.454636600;-43.922742798
172.23.72.174;2022-12-16 10:21:52.684922;-20.454637091;-43.922742901
172.23.72.174;2022-12-16 10:22:22.977340;-20.454636590;-43.922742833
172.23.72.174;2022-12-16 10:22:53.258099;-20.454635816;-43.922742846
172.23.72.174;2022-12-16 10:23:23.505538;-20.454635120;-43.922743176
172.23.72.174;2022-12-16 10:23:53.677443;-20.454634692;-43.922743339
172.23.72.174;2022-12-16 10:24:23.914623;-20.454634176;-43.922743566
172.23.72.174;2022-12-16 10:24:54.213237;-20.454633729;-43.922743678
172.23.72.174;2022-12-16 10:25:24.482647;-20.454633673;-43.922743688
172.23.72.174;2022-12-16 10:25:54.713964;-20.454633666;-43.922743730
172.23.72.174;2022-12-16 10:26:25.005205;-20.454633422;-43.922743844
172.23.72.174;2022-12-16 10:26:55.202098;-20.454366254;-43.922714615
172.23.72.174;2022-12-16 10:27:25.542270;-20.454261842;-43.922688321
172.23.72.174;2022-12-16 10:27:55.778154;-20.454206314;-43.922696425
172.23.72.174;2022-12-16 10:28:25.997547;-20.454204646;-43.922697914
172.23.72.174;2022-12-16 10:28:56.180386;-20.454206321;-43.922696904
172.23.72.174;2022-12-16 10:29:26.525638;-20.454207545;-43.922694693
172.23.72.174;2022-12-16 10:29:56.678254;-20.454207757;-43.922694176
172.23.72.174;2022-12-16 10:30:26.777844;-20.454206346;-43.922693683
172.23.72.174;2022-12-16 10:30:57.095894;-20.454205547;-43.922693096
172.23.72.174;2022-12-16 10:31:27.333860;-20.454205510;-43.922692635
172.23.72.174;2022-12-16 10:31:57.671838;-20.454205858;-43.922692126
172.23.72.174;2022-12-16 10:32:27.781286;-20.454207175;-43.922691100
172.23.72.174;2022-12-16 10:32:58.201793;-20.454239874;-43.922688491
172.23.72.174;2022-12-16 10:33:28.426599;-20.454923628;-43.922515101
172.23.72.174;2022-12-16 10:33:58.582154;-20.456155532;-43.922688182
172.23.72.174;2022-12-16 10:34:28.965691;-20.457480135;-43.923669643
172.23.72.174;2022-12-16 10:34:59.113459;-20.459175740;-43.924676627
172.23.72.174;2022-12-16 10:35:29.304413;-20.460913904;-43.924932787
172.23.72.174;2022-12-16 10:35:59.550798;-20.462070315;-43.925816659
172.23.72.174;2022-12-16 10:36:29.949560;-20.463630323;-43.926377042
172.23.72.174;2022-12-16 10:37:00.061869;-20.464861514;-43.927322620
172.23.72.174;2022-12-16 10:37:30.495650;-20.466074622;-43.927828645
172.23.72.174;2022-12-16 10:38:00.706038;-20.466945681;-43.927746196
172.23.72.174;2022-12-16 10:38:30.918687;-20.466816907;-43.927531527
172.23.72.174;2022-12-16 10:39:01.111138;-20.466827443;-43.927489732
172.23.72.174;2022-12-16 10:39:31.462575;-20.466831881;-43.927497354
172.23.72.174;2022-12-16 10:40:01.465236;-20.466857719;-43.927681938
172.23.72.174;2022-12-16 10:40:31.858833;-20.466079250;-43.927854417
172.23.72.174;2022-12-16 10:41:02.332727;-20.464426696;-43.926707023
172.23.72.174;2022-12-16 10:41:32.332598;-20.462649918;-43.925996644
172.23.72.174;2022-12-16 10:42:02.578937;-20.461697357;-43.925074271
172.23.72.174;2022-12-16 10:42:32.821990;-20.464890320;-43.926176063
172.23.72.174;2022-12-16 10:43:03.204379;-20.466447570;-43.924504300
172.23.72.174;2022-12-16 10:43:33.353483;-20.468751515;-43.923577149
172.23.72.174;2022-12-16 10:44:03.554240;-20.471348621;-43.923768670
172.23.72.174;2022-12-16 10:44:33.789006;-20.473669595;-43.923492823
172.23.72.174;2022-12-16 10:45:04.104669;-20.475245936;-43.922075085
172.23.72.174;2022-12-16 10:45:34.304202;-20.474787950;-43.920438258
172.23.72.174;2022-12-16 10:46:04.682810;-20.474023175;-43.918290162
172.23.72.174;2022-12-16 10:46:34.886565;-20.474431916;-43.915848310
172.23.72.174;2022-12-16 10:47:05.124623;-20.472910343;-43.912570265
172.23.72.174;2022-12-16 10:47:36.528455;-20.471470373;-43.909667782
172.23.72.174;2022-12-16 10:48:05.694368;-20.469913319;-43.911917413
172.23.72.174;2022-12-16 10:48:35.949920;-20.468167236;-43.915196436
172.23.72.174;2022-12-16 10:49:06.082501;-20.469215838;-43.917447554
172.23.72.174;2022-12-16 10:49:36.453219;-20.469625362;-43.916959019
172.23.72.174;2022-12-16 10:50:06.625359;-20.469626588;-43.916959897
172.23.72.174;2022-12-16 10:50:36.797453;-20.469628491;-43.916959539
172.23.72.174;2022-12-16 10:51:07.072639;-20.469627713;-43.916960486
172.23.72.174;2022-12-16 10:51:37.274568;-20.469626278;-43.916961571
172.23.72.174;2022-12-16 10:52:07.512794;-20.469624720;-43.916962493
172.23.72.174;2022-12-16 10:52:37.720629;-20.469480203;-43.916887003
172.23.72.174;2022-12-16 10:53:07.876143;-20.469360526;-43.916714174
172.23.72.174;2022-12-16 10:53:38.309234;-20.469311086;-43.916700536
172.23.72.174;2022-12-16 10:54:08.492697;-20.469309598;-43.916702043
172.23.72.174;2022-12-16 10:54:38.612573;-20.469309336;-43.916702435
172.23.72.174;2022-12-16 10:55:09.027351;-20.469309914;-43.916701986
172.23.72.174;2022-12-16 10:55:39.411168;-20.469310533;-43.916701494
172.23.72.174;2022-12-16 10:56:09.549569;-20.469311194;-43.916701008
172.23.72.174;2022-12-16 10:56:40.784977;-20.469311693;-43.916700654
172.23.72.174;2022-12-16 10:57:10.238789;-20.469450865;-43.916871276
172.23.72.174;2022-12-16 10:57:40.285848;-20.469064257;-43.917425400
172.23.72.174;2022-12-16 10:58:10.613365;-20.468474685;-43.916803414
172.23.72.174;2022-12-16 10:58:40.573242;-20.467961076;-43.915834724
172.23.72.174;2022-12-16 10:59:11.115842;-20.468465923;-43.914728321
172.23.72.174;2022-12-16 10:59:41.430357;-20.469063972;-43.913707390
172.23.72.174;2022-12-16 11:00:11.655797;-20.469366673;-43.912768333
172.23.72.174;2022-12-16 11:00:41.778731;-20.469843453;-43.912031779
172.23.72.174;2022-12-16 11:01:12.239862;-20.470323464;-43.911070532
172.23.72.174;2022-12-16 11:01:42.445444;-20.470831288;-43.910151925
172.23.72.174;2022-12-16 11:02:12.719552;-20.471604647;-43.909961145
172.23.72.174;2022-12-16 11:02:43.128785;-20.471989058;-43.910917920
172.23.72.174;2022-12-16 11:03:13.174697;-20.472401273;-43.911588743
172.23.72.174;2022-12-16 11:03:43.394816;-20.472792852;-43.912318632
172.23.72.174;2022-12-16 11:04:13.822369;-20.473547894;-43.913591307
172.23.72.174;2022-12-16 11:04:44.121128;-20.474358295;-43.914989371
172.23.72.174;2022-12-16 11:05:14.297372;-20.474410951;-43.915867099
172.23.72.174;2022-12-16 11:05:44.495296;-20.474091869;-43.916644640
172.23.72.174;2022-12-16 11:06:14.560652;-20.473792380;-43.917483855
172.23.72.174;2022-12-16 11:06:44.981898;-20.473937466;-43.918382693
172.23.72.174;2022-12-16 11:07:15.218566;-20.474045623;-43.919279427
172.23.72.174;2022-12-16 11:07:45.445697;-20.474600761;-43.920421696
172.23.72.174;2022-12-16 11:08:15.736368;-20.476210563;-43.919572815
172.23.72.174;2022-12-16 11:08:45.759164;-20.476565419;-43.919828818
172.23.72.174;2022-12-16 11:09:16.165383;-20.476749510;-43.919807785
172.23.72.174;2022-12-16 11:09:46.597186;-20.476750267;-43.919807905
172.23.72.174;2022-12-16 11:10:16.789902;-20.476705993;-43.919817071
172.23.72.174;2022-12-16 11:10:46.922555;-20.475217965;-43.919983346
172.23.72.174;2022-12-16 11:11:17.295210;-20.475183600;-43.922039718
172.23.72.174;2022-12-16 11:11:47.704946;-20.473077566;-43.923644885
172.23.72.174;2022-12-16 11:12:17.771626;-20.471101416;-43.923640933
172.23.72.174;2022-12-16 11:12:48.125136;-20.469372790;-43.923512467
172.23.72.174;2022-12-16 11:13:18.329131;-20.467895992;-43.923498739
172.23.72.174;2022-12-16 11:13:48.600046;-20.466521916;-43.923736404
172.23.72.174;2022-12-16 11:14:19.334276;-20.466270273;-43.925730859
172.23.72.174;2022-12-16 11:14:49.245120;-20.465427606;-43.926174654
172.23.72.174;2022-12-16 11:15:19.327919;-20.464282515;-43.925901835
172.23.72.174;2022-12-16 11:15:49.656338;-20.462156011;-43.925155660
172.23.72.174;2022-12-16 11:16:19.838097;-20.459387210;-43.924660143
172.23.72.174;2022-12-16 11:16:50.085625;-20.457128668;-43.923157163
172.23.72.174;2022-12-16 11:17:20.396638;-20.454982895;-43.923052175
172.23.72.174;2022-12-16 11:17:50.501759;-20.454962220;-43.924701730
172.23.72.174;2022-12-16 11:18:20.892956;-20.456781262;-43.924932610
172.23.72.174;2022-12-16 11:18:50.901219;-20.457047380;-43.925003647
172.23.72.174;2022-12-16 11:19:21.405469;-20.457059348;-43.925014004
172.23.72.174;2022-12-16 11:19:51.556396;-20.457060344;-43.925013665
172.23.72.174;2022-12-16 11:20:21.868911;-20.457060715;-43.925014485
172.23.72.174;2022-12-16 11:20:52.106668;-20.457059648;-43.925012139
172.23.72.174;2022-12-16 11:21:22.433178;-20.457059675;-43.925011251
172.23.72.174;2022-12-16 11:21:52.790530;-20.457060548;-43.925011114
172.23.72.174;2022-12-16 11:22:23.008694;-20.457060689;-43.925010787
172.23.72.174;2022-12-16 11:22:53.191509;-20.457060512;-43.925010561
172.23.72.174;2022-12-16 11:23:23.592464;-20.456769381;-43.925213342
172.23.72.174;2022-12-16 11:23:53.876698;-20.455885826;-43.925319892
172.23.72.174;2022-12-16 11:24:23.935580;-20.454652382;-43.924221248
172.23.72.174;2022-12-16 11:24:54.525904;-20.456043851;-43.923019608
172.23.72.174;2022-12-16 11:25:24.490365;-20.456132198;-43.921966628
172.23.72.174;2022-12-16 11:25:54.811218;-20.455187445;-43.921102157
172.23.72.174;2022-12-16 11:26:24.994909;-20.454652762;-43.920751806
172.23.72.174;2022-12-16 11:26:55.260153;-20.454511581;-43.920549622
172.23.72.174;2022-12-16 11:27:25.504587;-20.454579338;-43.920625183
172.23.72.174;2022-12-16 11:27:55.719370;-20.454577705;-43.920623242
172.23.72.174;2022-12-16 11:28:25.979710;-20.454509066;-43.920548708
172.23.72.174;2022-12-16 11:28:56.138945;-20.454339148;-43.920456761
172.23.72.174;2022-12-16 11:29:26.574482;-20.454344739;-43.920534647
172.23.72.174;2022-12-16 11:29:57.037917;-20.455051305;-43.920925084
172.23.72.174;2022-12-16 11:30:27.342036;-20.455611454;-43.921388703
172.23.72.174;2022-12-16 11:30:57.310181;-20.456175624;-43.922873488
172.23.72.174;2022-12-16 11:31:27.635055;-20.454504414;-43.923881853
172.23.72.174;2022-12-16 11:31:57.748519;-20.456188836;-43.925167704
172.23.72.174;2022-12-16 11:32:28.046330;-20.456703548;-43.924942269
172.23.72.174;2022-12-16 11:32:58.254617;-20.456704446;-43.924943437
172.23.72.174;2022-12-16 11:33:28.514065;-20.456705149;-43.924943326
172.23.72.174;2022-12-16 11:33:58.733837;-20.456705652;-43.924943111
172.23.72.174;2022-12-16 11:34:28.746948;-20.456705878;-43.924943201
172.23.72.174;2022-12-16 11:34:59.254425;-20.456705913;-43.924943312
172.23.72.174;2022-12-16 11:35:29.567486;-20.456705899;-43.924943384
172.23.72.174;2022-12-16 11:35:59.811249;-20.456705391;-43.924943630
172.23.72.174;2022-12-16 11:36:30.065436;-20.456917866;-43.924954407
172.23.72.174;2022-12-16 11:37:00.149822;-20.457014927;-43.925009690
172.23.72.174;2022-12-16 11:37:30.599371;-20.457048953;-43.925017179
172.23.72.174;2022-12-16 11:38:00.840450;-20.457050000;-43.925017963
172.23.72.174;2022-12-16 11:38:30.997930;-20.457051002;-43.925018209
172.23.72.174;2022-12-16 11:39:01.360751;-20.457050870;-43.925018426
172.23.72.174;2022-12-16 11:39:31.585880;-20.457050237;-43.925018499
172.23.72.174;2022-12-16 11:40:01.841515;-20.457049784;-43.925018652
172.23.72.174;2022-12-16 11:40:32.115281;-20.457049638;-43.925018818
172.23.72.174;2022-12-16 11:41:02.428403;-20.457049361;-43.925018888
172.23.72.174;2022-12-16 11:41:32.727033;-20.457049190;-43.925019013
172.23.72.174;2022-12-16 11:42:02.906822;-20.457048962;-43.925019054
172.23.72.174;2022-12-16 11:42:33.349282;-20.456755769;-43.925285752
172.23.72.174;2022-12-16 11:43:03.329517;-20.455997061;-43.925309550
172.23.72.174;2022-12-16 11:43:33.619204;-20.454744346;-43.924382813
172.23.72.174;2022-12-16 11:44:04.257637;-20.455856720;-43.923063232
172.23.72.174;2022-12-16 11:44:34.084498;-20.457698549;-43.923848904
172.23.72.174;2022-12-16 11:45:04.633712;-20.459627873;-43.924741952
172.23.72.174;2022-12-16 11:45:34.821902;-20.461540977;-43.925057726
172.23.72.174;2022-12-16 11:46:05.338885;-20.463575610;-43.925818680
172.23.72.174;2022-12-16 11:46:35.261173;-20.465323299;-43.926820035
172.23.72.174;2022-12-16 11:47:05.343802;-20.466526700;-43.927197374
172.23.72.174;2022-12-16 11:47:35.747601;-20.466499040;-43.926974175
172.23.72.174;2022-12-16 11:48:05.953626;-20.466492504;-43.926979629
172.23.72.174;2022-12-16 11:48:36.221570;-20.466416307;-43.927049778
172.23.72.174;2022-12-16 11:49:06.440074;-20.466280202;-43.927158094
172.23.72.174;2022-12-16 11:49:36.756817;-20.464973159;-43.926522069
172.23.72.174;2022-12-16 11:50:07.030605;-20.464565959;-43.926096006
172.23.72.174;2022-12-16 11:50:37.450517;-20.462488325;-43.925295396
172.23.72.174;2022-12-16 11:51:07.565495;-20.461341399;-43.925804695
172.23.72.174;2022-12-16 11:51:37.798990;-20.463065936;-43.928694083
172.23.72.174;2022-12-16 11:52:07.973005;-20.465721095;-43.930107133
172.23.72.174;2022-12-16 11:52:38.226717;-20.467954613;-43.931567916
172.23.72.174;2022-12-16 11:53:08.677387;-20.466623726;-43.932287486
172.23.72.174;2022-12-16 11:53:38.743973;-20.464367111;-43.932727227
172.23.72.174;2022-12-16 11:54:09.192843;-20.462457387;-43.932454556
172.23.72.174;2022-12-16 11:54:39.436627;-20.460340265;-43.932899793
172.23.72.174;2022-12-16 11:55:09.524593;-20.458797068;-43.933651570
172.23.72.174;2022-12-16 11:55:39.817088;-20.458486525;-43.933778193
172.23.72.174;2022-12-16 11:56:10.037605;-20.458488722;-43.933778098
172.23.72.174;2022-12-16 11:56:40.206153;-20.458490003;-43.933778388
172.23.72.174;2022-12-16 11:57:10.527788;-20.458489953;-43.933778248
172.23.72.174;2022-12-16 11:57:41.020339;-20.458287155;-43.933769132
172.23.72.174;2022-12-16 11:58:11.033210;-20.458152437;-43.933704124
172.23.72.174;2022-12-16 11:58:41.352917;-20.458113339;-43.933749062
172.23.72.174;2022-12-16 11:59:11.749901;-20.458112435;-43.933749305
172.23.72.174;2022-12-16 11:59:41.831087;-20.458112336;-43.933748912
172.23.72.174;2022-12-16 12:00:12.107339;-20.458197052;-43.933670260
172.23.72.174;2022-12-16 12:00:42.352837;-20.459125603;-43.933232600
172.23.72.174;2022-12-16 12:01:12.607956;-20.460644497;-43.932723463
172.23.72.174;2022-12-16 12:01:42.860467;-20.462495036;-43.932466694
172.23.72.174;2022-12-16 12:02:13.170153;-20.464411331;-43.932833695
172.23.72.174;2022-12-16 12:02:43.407453;-20.466333766;-43.932373382
172.23.72.174;2022-12-16 12:03:13.861256;-20.468051146;-43.931958012
172.23.72.174;2022-12-16 12:03:44.127817;-20.466658355;-43.930519629
172.23.72.174;2022-12-16 12:04:14.094471;-20.464756236;-43.929550678
172.23.72.174;2022-12-16 12:04:44.406449;-20.462868979;-43.928599797
172.23.72.174;2022-12-16 12:05:14.774135;-20.461606259;-43.927007911
172.23.72.174;2022-12-16 12:05:44.984136;-20.461446254;-43.925084479
172.23.72.174;2022-12-16 12:06:15.364023;-20.463361770;-43.925748631
172.23.72.174;2022-12-16 12:06:45.414024;-20.465214109;-43.926247862
172.23.72.174;2022-12-16 12:07:15.957271;-20.466390379;-43.925505224
172.23.72.174;2022-12-16 12:07:46.137326;-20.466616211;-43.923885480
172.23.72.174;2022-12-16 12:08:16.294767;-20.467799720;-43.923570235
172.23.72.174;2022-12-16 12:08:46.886808;-20.468968877;-43.923596668
172.23.72.174;2022-12-16 12:09:17.007040;-20.470124500;-43.923632193
172.23.72.174;2022-12-16 12:09:47.177553;-20.471187776;-43.923761947
172.23.72.174;2022-12-16 12:10:17.608329;-20.472115484;-43.923855884
172.23.72.174;2022-12-16 12:10:47.618408;-20.473685878;-43.923442821
172.23.72.174;2022-12-16 12:11:17.990129;-20.475252523;-43.922067128
172.23.72.174;2022-12-16 12:11:48.068519;-20.474955811;-43.920272204
172.23.72.174;2022-12-16 12:12:18.279264;-20.475492404;-43.919833540
172.23.72.174;2022-12-16 12:12:48.856714;-20.474825392;-43.920190739
172.23.72.174;2022-12-16 12:13:18.832011;-20.474822926;-43.918872429
172.23.72.174;2022-12-16 12:13:49.096837;-20.475661080;-43.918580645
172.23.72.174;2022-12-16 12:14:19.562114;-20.475703436;-43.918575586
172.23.72.174;2022-12-16 12:14:49.688065;-20.475701985;-43.918576023
172.23.72.174;2022-12-16 12:15:20.064580;-20.475588762;-43.918588634
172.23.72.174;2022-12-16 12:15:50.861090;-20.475280007;-43.918576257
172.23.72.174;2022-12-16 12:16:20.669433;-20.474375135;-43.920189467
172.23.72.174;2022-12-16 12:16:50.839926;-20.473752724;-43.917418572
172.23.72.174;2022-12-16 12:17:21.020216;-20.473226117;-43.919383550
172.23.72.174;2022-12-16 12:17:51.267406;-20.470466736;-43.920917364
172.23.72.174;2022-12-16 12:18:21.444953;-20.468679376;-43.919787689
172.23.72.174;2022-12-16 12:18:51.864771;-20.470544483;-43.919111847
172.23.72.174;2022-12-16 12:19:22.349010;-20.471567159;-43.918798405
172.23.72.174;2022-12-16 12:19:52.649236;-20.471577860;-43.918806850
172.23.72.174;2022-12-16 12:20:22.561225;-20.471578070;-43.918806221
172.23.72.174;2023-10-23 10:29:54.146120;-20.476834459;-43.928854619
172.23.72.174;2023-10-23 10:30:25.468436;-20.477890904;-43.929196960
172.23.72.174;2023-10-23 10:31:35.236467;-20.478810872;-43.931371518
172.23.72.174;2023-10-23 10:32:11.253440;-20.478169636;-43.932833537
172.23.72.174;2023-10-23 10:32:46.166418;-20.478304999;-43.935383094
172.23.72.174;2023-10-23 10:33:19.257402;-20.478636991;-43.937839761
172.23.72.174;2023-10-23 10:33:52.892996;-20.477078794;-43.939634720
172.23.72.174;2023-10-23 10:34:26.861490;-20.474716458;-43.939477604
172.23.72.174;2023-10-23 10:35:01.089053;-20.472381905;-43.939362573
172.23.72.174;2023-10-23 10:35:34.749227;-20.470285329;-43.939474796
172.23.72.174;2023-10-23 10:36:11.157409;-20.469446508;-43.940663161
172.23.72.174;2023-10-23 10:36:44.752864;-20.469593428;-43.940971009
172.23.72.174;2023-10-23 10:37:18.063655;-20.469356212;-43.941221856
172.23.72.174;2023-10-23 10:37:52.546714;-20.469380013;-43.941131832
172.23.72.174;2023-10-23 10:38:26.565472;-20.469399565;-43.941042470
172.23.72.174;2023-10-23 10:39:00.501972;-20.471042695;-43.939378552
172.23.72.174;2023-10-23 10:39:34.164380;-20.474839342;-43.939723284
172.23.72.174;2023-10-23 10:40:11.190611;-20.476562921;-43.939307657
172.23.72.174;2023-10-23 10:40:44.359478;-20.474342578;-43.937410392
172.23.72.174;2023-10-23 10:41:17.802053;-20.472508205;-43.934979405
172.23.72.174;2023-10-23 10:41:52.081710;-20.471309891;-43.932895090
172.23.72.174;2023-10-23 10:42:25.909401;-20.468717983;-43.932399700
172.23.72.174;2023-10-23 10:42:59.390602;-20.466224711;-43.932198042
172.23.72.174;2023-10-23 10:43:33.440403;-20.463168268;-43.930899194
172.23.72.174;2023-10-23 10:44:09.437445;-20.460176267;-43.929353618
172.23.72.174;2023-10-23 10:44:43.928813;-20.457062085;-43.926784662
172.23.72.174;2023-10-23 10:45:18.253336;-20.453583413;-43.926511603
172.23.72.174;2023-10-23 10:45:51.715305;-20.450496935;-43.926499004
172.23.72.174;2023-10-23 10:46:26.083052;-20.447441600;-43.925862897
172.23.72.174;2023-10-23 10:46:59.576296;-20.445170014;-43.925224835
172.23.72.174;2023-10-23 10:47:33.757470;-20.444376739;-43.924583292
172.23.72.174;2023-10-23 10:48:10.872084;-20.443796432;-43.922463979
172.23.72.174;2023-10-23 10:48:44.365656;-20.443127709;-43.920118101
172.23.72.174;2023-10-23 10:49:18.248984;-20.443085780;-43.920024103
172.23.72.174;2023-10-23 10:49:51.375793;-20.443086612;-43.920024170
172.23.72.174;2023-10-23 10:50:25.396435;-20.443002847;-43.919868076
172.23.72.174;2023-10-23 10:50:59.385378;-20.442747149;-43.919710404
172.23.72.174;2023-10-23 10:51:33.725241;-20.442747182;-43.919710219
172.23.72.174;2023-10-23 10:52:10.764994;-20.442746989;-43.919709782
172.23.72.174;2023-10-23 10:52:44.121439;-20.442746696;-43.919709505
172.23.72.174;2023-10-23 10:53:18.729032;-20.442746345;-43.919709412
172.23.72.174;2023-10-23 10:53:52.503237;-20.442746019;-43.919709322
172.23.72.174;2023-10-23 10:54:26.495917;-20.442745915;-43.919709234
172.23.72.174;2023-10-23 10:55:00.689570;-20.442509578;-43.919690807
172.23.72.174;2023-10-23 10:55:37.937789;-20.442419719;-43.919617024
172.23.72.174;2023-10-23 10:56:10.720526;-20.442419812;-43.919617377
172.23.72.174;2023-10-23 10:56:45.469239;-20.442420057;-43.919617651
172.23.72.174;2023-10-23 10:57:19.029990;-20.442419712;-43.919617379
172.23.72.174;2023-10-23 10:57:52.777018;-20.442418959;-43.919617155
172.23.72.174;2023-10-23 10:58:26.345812;-20.442418172;-43.919617114
172.23.72.174;2023-10-23 10:58:59.949296;-20.442417706;-43.919616933
172.23.72.174;2023-10-23 10:59:34.233420;-20.442417460;-43.919616691
172.23.72.174;2023-10-23 11:00:09.691242;-20.442417124;-43.919616501
172.23.72.174;2023-10-23 11:00:43.264268;-20.442886763;-43.919640288
172.23.72.174;2023-10-23 11:01:16.886957;-20.443441951;-43.921184453
172.23.72.174;2023-10-23 11:01:51.156544;-20.443700697;-43.923042083
172.23.72.174;2023-10-23 11:02:24.673806;-20.444209287;-43.924429172
172.23.72.174;2023-10-23 11:02:59.307344;-20.445564557;-43.925480337
